CreateMeshBuilder,,,,
AddVertex,2,1.1,0,
AddVertex,2,6.6,0,
AddVertex,7.2,6.6,0,
AddVertex,7.2,1.1,0,
AddFace2,0,1,2,3

GenerateNormals,,,,
LoadTexture,1.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,

CreateMeshBuilder,,,,
AddVertex,-6,1.1,0,
AddVertex,-6,6.6,0,
AddVertex,-11.2,6.6,0,
AddVertex,-11.2,1.1,0,
AddFace2,0,1,2,3

GenerateNormals,,,,
LoadTexture,1.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
