CreateMeshBuilder,,,,
AddVertex,2,1.1,0,
AddVertex,2,5,0,
AddVertex,7.2,5,0,
AddVertex,7.2,1.1,0,
AddFace2,0,1,2,3

GenerateNormals,,,,

LoadTexture,end.bmp,,,
SetTextureCoordinates,0,1,1,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0,1,
SetDecalTransparentColor,0,0,204,

CreateMeshBuilder,,,,
AddVertex,-7,1.1,0,
AddVertex,-7,5,0,
AddVertex,-12.2,5,0,
AddVertex,-12.2,1.1,0,
AddFace2,0,1,2,3

GenerateNormals,,,,

LoadTexture,end.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,204,
