CreateMeshBuilder,,,,
AddVertex,1.3,5.9,0,
AddVertex,1.3,5.9,25,
AddVertex,1.3,4.2,25,
AddVertex,1.3,4.2,0,
AddFace,3,2,1,0
LoadTexture,wall.bmp,,,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,0.5,10,
SetTextureCoordinates,3,0.5,10,
Setcolor,110,110,110,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,1.3,5.9,25,
AddVertex,-1.5,5.9,25,
AddVertex,-2,5.5,25,
AddVertex,-2,5.5,0,
AddVertex,-1.5,5.9,0,
AddVertex,1.3,5.9,0,
AddFace,0,1,4,5
AddFace,1,2,3,4
LoadTexture,wall.bmp,,,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,-0.7,0,
SetTextureCoordinates,2,-1,0,
SetTextureCoordinates,3,-1,5,
SetTextureCoordinates,4,-0.7,5,
SetTextureCoordinates,5,0,5,
Setcolor,130,130,130,
GenerateNormals,,,,
