CreateMeshBuilder,,,,
AddVertex,-40,-10,0,
AddVertex,-40,30,0,
AddVertex,-40,30,30,
AddVertex,-40,-10,30,
AddFace2,0,1,2,3

GenerateNormals,,,,

LoadTexture,building2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,

CreateMeshBuilder,,,,
AddVertex,-40,-10,30,
AddVertex,-40,30,30,
AddVertex,-60,30,50,
AddVertex,-60,-10,50,
AddFace2,0,1,2,3

GenerateNormals,,,,

LoadTexture,building.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
