CreateMeshBuilder,,,,
AddVertex,-4.75,1.1,0,
AddVertex,-4.75,9,0,
AddVertex,-4.75,9,0.5,
AddVertex,-4.75,1.1,0.5,
AddFace2,0,1,2,3

GenerateNormals,,,,

LoadTexture,pole2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,
CreateMeshBuilder,,,,
AddVertex,-4.75,1.1,0,
AddVertex,-4.75,9,0,
AddVertex,-5.25,9,0,
AddVertex,-5.25,1.1,0,
AddFace2,0,1,2,3

GenerateNormals,,,,

LoadTexture,pole2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,

CreateMeshBuilder,,,,
AddVertex,-2,4,0,
AddVertex,-2,5,0,
AddVertex,-4.75,5,0,
AddVertex,-4.75,4,0,
AddFace2,3,2,1,0

GenerateNormals,,,,

LoadTexture,pole.bmp,,,
SetTextureCoordinates,0,1,1,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0,1,
SetDecalTransparentColor,0,0,255,
