CreateMeshBuilder,,,,
AddVertex,7.2,1.1,0,
AddVertex,7.2,2,0,
AddVertex,2.7,2,0,
AddVertex,2.7,1.1,0,
AddFace2,0,1,2,3
GenerateNormals,,,,
LoadTexture,tiger.bmp,,,
SetTextureCoordinates,0,4,1,
SetTextureCoordinates,1,4,0,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0,1,

CreateMeshBuilder,,,,
AddVertex,2.7,1.1,0,
AddVertex,2.7,2,0,
AddVertex,2.7,2,0.5,
AddVertex,2.7,1.1,0.5,
AddFace2,0,1,2,3
GenerateNormals,,,,
LoadTexture,concrete.bmp,,,
SetTextureCoordinates,0,1,1,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0,1,

CreateMeshBuilder,,,,
AddVertex,7.2,2,0,
AddVertex,7.2,2,0.5,
AddVertex,2.7,2,0.5,
AddVertex,2.7,2,0,
AddFace2,0,1,2,3
GenerateNormals,,,
LoadTexture,concrete.bmp,,
SetTextureCoordinates,0,1,1
SetTextureCoordinates,1,1,0
SetTextureCoordinates,2,0,0
SetTextureCoordinates,3,0,1
