CreateMeshBuilder,,,,
AddVertex,-1.3,5.9,25,
AddVertex,5.5,5.9,25,
AddVertex,6,5.5,25,
AddVertex,6,5.5,0,
AddVertex,5.5,5.9,0,
AddVertex,-1.3,5.9,0,
AddFace,5,4,1,0
AddFace,4,3,2,1
LoadTexture,wall.bmp,,,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,-0.7,0,
SetTextureCoordinates,2,-1,0,
SetTextureCoordinates,3,-1,5,
SetTextureCoordinates,4,-0.7,5,
SetTextureCoordinates,5,0,5,
Setcolor,130,130,130,
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,-1.3,5.9,0,
AddVertex,-1.3,5.9,25,
AddVertex,-1.3,4.2,25,
AddVertex,-1.3,4.2,0,
AddFace,0,1,2,3
LoadTexture,wall.bmp,,,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,0.5,10,
SetTextureCoordinates,3,0.5,10,
Setcolor,110,110,110,
GenerateNormals,,,,
