CreateMeshBuilder,,,,
AddVertex,-5.2,1.1,0,
AddVertex,-5.2,4.2,0,
AddVertex,-5.2,4.2,12.5,
AddVertex,-5.2,1.1,12.5,
AddFace2,3,2,1,0

GenerateNormals,,,,
LoadTexture,Wall2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,

CreateMeshBuilder,,,,
AddVertex,-5.2,1.1,12.5,
AddVertex,-5.2,4.3,12.5,
AddVertex,-5.2,4.3,25.2,
AddVertex,-5.2,1.1,25.2,
AddFace2,3,2,1,0

GenerateNormals,,,,
LoadTexture,FormWall439.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
