CreateMeshBuilder,,,,
AddVertex,14.4,1.1,0,
AddVertex,14.4,1.1,25.1,
AddVertex,2.7,1.1,25.1,
AddVertex,2.7,1.1,0,
AddFace,3,2,1,0
GenerateNormals,,,,
LoadTexture,FormC.bmp,,,
SetTextureCoordinates,0,1,1,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0,1,

CreateMeshBuilder,,,,
AddVertex,14.4,-0.45,0,
AddVertex,14.4,1.1,0,
AddVertex,2.7,1.1,0,
AddVertex,2.7,-0.45,0,
AddFace,3,2,1,0
GenerateNormals,,,,
LoadTexture,Wall.bmp,,,
SetTextureCoordinates,0,1,1,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0,1,



CreateMeshBuilder,,,,
AddVertex,7.2,1.1,0,
AddVertex,7.2,4.2,0,
AddVertex,7.2,4.2,25.2,
AddVertex,7.2,1.1,25.2,
AddFace2,0,1,2,3
GenerateNormals,,,,
LoadTexture,gate1.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,
SetDecalTransparentColor,0,0,255,

CreateMeshBuilder,,,,
AddVertex,7.2,1.1,0,
AddVertex,7.2,4.2,0,
AddVertex,8.2,4.2,0,
AddVertex,8.2,1.1,0,
AddFace2,0,1,2,3
GenerateNormals,,,,
LoadTexture,gate2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,

CreateMeshBuilder,,,,
AddVertex,7.2,1.1,4.9,
AddVertex,7.2,4.2,4.9,
AddVertex,8.2,4.2,4.9,
AddVertex,8.2,1.1,4.9,
AddFace2,0,1,2,3
GenerateNormals,,,,
LoadTexture,gate2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,

CreateMeshBuilder,,,,
AddVertex,7.2,1.1,11,
AddVertex,7.2,4.2,11,
AddVertex,8.2,4.2,11,
AddVertex,8.2,1.1,11,
AddFace2,0,1,2,3
GenerateNormals,,,,
LoadTexture,gate2.bmp,,,
SetTextureCoordinates,0,0,1,
SetTextureCoordinates,1,0,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,1,














CreateMeshBuilder,,,
AddVertex,7.2,1.1,17.3
AddVertex,7.2,4.2,17.3,
