CreateMeshBuilder
AddVertex,-2.5,-0.3,-0.3
AddVertex,-2.5,4.1,-0.3
AddVertex,-2.5,4.1,25.4
AddVertex,-2.5,-0.3,25.4
AddFace2,0,1,2,3
GenerateNormals
LoadTexture,bangeum2.bmp
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,0,0.15
SetTextureCoordinates,2,5,0.15
SetTextureCoordinates,3,5,1


CreateMeshBuilder
AddVertex,-2.5,4.1,-0.3
AddVertex,-1.8,5.2,-0.3
AddVertex,-1.8,5.2,25.4
AddVertex,-2.5,4.1,25.4
AddFace2,0,1,2,3
GenerateNormals
LoadTexture,bangeum2.bmp
SetTextureCoordinates,0,0,0.15
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,5,0
SetTextureCoordinates,3,5,0.15




CreateMeshBuilder
AddVertex,-1.85,-0.45,-0.3
AddVertex,-1.85,-0.144,-0.3
AddVertex,-2.5,-0.144,-0.3
AddVertex,-1.85,-0.45,25.4.3
AddVertex,-1.85,-0.144,25.4.3
AddVertex,-2.5,-0.144,25.4.3
AddFace,0,1,4,3
AddFace,1,2,5,4
GenerateNormals
LoadTexture,Concrete.bmp
SetTextureCoordinates,0,1,10
SetTextureCoordinates,1,0,10
SetTextureCoordinates,2,1,10
SetTextureCoordinates,3,1,0
SetTextureCoordinates,4,0,0
SetTextureCoordinates,5,1,0

