
CreateMeshBuilder,,,,
AddVertex,-1.6,6,0,
AddVertex,-1.6,6,25,
AddVertex,-5.7,4.7,25,
AddVertex,-5.7,4.7,0,
AddFace2,0,1,2,3
GenerateNormals,,,,
LoadTexture, ansanroof.bmp
SetTextureCoordinates,0,0,0.5
SetTextureCoordinates,1,0,3.5
SetTextureCoordinates,2,1,3.5
SetTextureCoordinates,3,1,0.5
;SetDecalTransparentColor,0,0,255

CreateMeshBuilder,,,,
AddVertex,-1.6,6.3,0,
AddVertex,-1.6,6.3,25,
AddVertex,-1.6,5.7,25,
AddVertex,-1.6,5.7,0,
AddFace2,0,1,2,3
Setcolor,140,160,130
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,-5.7,4.7,0,
AddVertex,-5.7,4.7,25,
AddVertex,-5.7,4.3,25,
AddVertex,-5.7,4.3,0,
AddFace,0,1,2,3
Setcolor,140,160,130
GenerateNormals,,,,
