CreateMeshBuilder,,,,
AddVertex,0.1,3.6,1,
AddVertex,0.1,3.6,-1,
AddVertex,0.1,4.3,-1,
AddVertex,0.1,4.3,1,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,daeyami.bmp
SetTextureCoordinates,0,1,1
SetTextureCoordinates,1,0,1
SetTextureCoordinates,2,0,0
SetTextureCoordinates,3,1,0

CreateMeshBuilder,,,,
AddVertex,-0.1,3.6,1,
AddVertex,-0.1,3.6,-1,
AddVertex,-0.1,4.3,-1,
AddVertex,-0.1,4.3,1,
AddFace,3,2,1,0
GenerateNormals,,,,
LoadTexture,daeyami.bmp
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,1,1
SetTextureCoordinates,2,1,0
SetTextureCoordinates,3,0,0

CreateMeshBuilder,,,,
AddVertex,0.1,3.6,-1,
AddVertex,-0.1,3.6,-1,
AddVertex,-0.1,4.3,-1,
AddVertex,0.1,4.3,-1,
AddFace2,0,1,2,3
SetColor,0,98,177
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,0.1,3.6,1,
AddVertex,-0.1,3.6,1,
AddVertex,-0.1,4.3,1,
AddVertex,0.1,4.3,1,
AddFace2,0,1,2,3
SetColor,0,98,177
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,0.1,3.6,-1,
AddVertex,-0.1,3.6,-1,
AddVertex,-0.1,3.6,1,
AddVertex,0.1,3.6,1,
AddFace2,0,1,2,3
SetColor,0,98,177
GenerateNormals,,,,

CreateMeshBuilder,,,,
AddVertex,0.1,4.3,-1,
AddVertex,-0.1,4.3,-1,
AddVertex,-0.1,4.3,1,
AddVertex,0.1,4.3,1,
AddFace2,0,1,2,3
SetColor,0,98,177
GenerateNormals,,,,

CreateMeshBuilder,,,,
Cylinder,8,0.06,0.06,0.75
SetColor,0,98,177
GenerateNormals,,,,
Translate,0,4.6,-0.5

CreateMeshBuilder,,,,
Cylinder,8,0.06,0.06,0.75
SetColor,0,98,177
GenerateNormals,,,,
Translate,0,4.6,0.5
